datetime,from_stop,to_stop,riders,total_km,order_type,station_from,station_to
2023-02-19,Lakefront Homes(11849),Putrajaya Central (Cyberjaya)(11798),3,10.22,on-demand,11849,11798
2023-02-01,Shaftsbusry Square Bus Stop(11808),Putrajaya Central (Cyberjaya)(11798),1,6.33,advanced booking,11808,11798
2023-02-28,The Arc Cyberjaya (Bus Stop)(11855),UNIKOP(12216),1,3.55,on-demand,11855,12216
2023-02-03,The Arc Cyberjaya (Bus Stop)(11855),Lim Kok Weng University (Barat) Bus Stop(11831),1,5.11,on-demand,11855,11831
2023-02-23,CBD Perdana 1 (Saba Restaurant)(11819),Tamarind Square Bus Stop(11807),1,2.42,on-demand,11819,11807
2023-02-14,Cyberia Gate 2(11858),Star Central(11803),1,3.16,on-demand,11858,11803
2023-02-28,Garden Plaza(11863),Sports Arena Cyberjaya(11814),2,4.52,advanced booking,11863,11814
2023-02-15,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),2,3.2,on-demand,12216,11855
2023-02-13,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),2,3.2,on-demand,12216,11855
2023-02-15,Mutiara Ville Residence-Persiaran Sepang(11853),Cyberjaya Smart School Complex(Bus Stop)(11870),1,2.63,on-demand,11853,11870
2023-02-28,Park & Ride Putrajaya Sentral (Cyberjaya(12224),Star Central(11803),1,5.44,on-demand,12224,11803
2023-02-16,Cottage Walk Bus Stop(11822),Mutiara Ville Residence-Persiaran Sepang(11853),1,3.83,advanced booking,11822,11853
2023-02-07,D'Pulze Cyberjaya Bus Stop(11806),Gem In Mall(11800),1,2.64,on-demand,11806,11800
2023-02-18,Shaftsbusry Square Bus Stop(11808),Cyberia Smart Homes Guard House Gate A(11857),1,2.81,on-demand,11808,11857
2023-02-16,Wisma Shell Bus Stop(12192),Putrajaya Central (Cyberjaya)(11798),1,7.1,on-demand,12192,11798
2023-02-06,Cyberia Gate 2(11858),"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",1,2.96,on-demand,11858,11821
2023-02-16,Gem In Mall(11800),Bank Islam Cyberjaya (CBD Perdana 2)(11820),2,2.42,on-demand,11800,11820
2023-02-11,Cyberia Gate 2(11858),D'Pulze Cyberjaya Bus Stop(11806),1,2.0,on-demand,11858,11806
