month,origin,destination,origin_label,destination_label,origin_line_code,destination_line_code,origin_line,destination_line,flow_type,ridership,origin_rank,destination_rank,ridership_k
2026-01,KG20: Tun Razak Exchange,KJ09: Ampang Park,Tun Razak Exchange,Ampang Park,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,81,4,7,0.081
2026-01,KG20: Tun Razak Exchange,KJ10: KLCC,Tun Razak Exchange,KLCC,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1998,4,2,1.998
2026-01,KG20: Tun Razak Exchange,KJ14: Pasar Seni,Tun Razak Exchange,Pasar Seni,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,14128,4,8,14.128
2026-01,KG20: Tun Razak Exchange,KJ15: KL Sentral,Tun Razak Exchange,KL Sentral,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,2544,4,3,2.544
2026-01,KG20: Tun Razak Exchange,KJ16: Bank Rakyat Bangsar,Tun Razak Exchange,Bank Rakyat Bangsar,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,2455,4,15,2.455
2026-01,KG20: Tun Razak Exchange,KJ17: Abdullah Hukum,Tun Razak Exchange,Abdullah Hukum,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,3776,4,6,3.776
2026-01,KG20: Tun Razak Exchange,MR06: Bukit Bintang,Tun Razak Exchange,Bukit Bintang,KG,MR,MRT Kajang,Monorail,Inter-line,65,4,9,0.065
2026-01,KG21: Cochrane,AG07: Masjid Jamek,Cochrane,Masjid Jamek,KG,AG,MRT Kajang,Ampang,Inter-line,958,12,10,0.958
2026-01,KG21: Cochrane,KG09: Bandar Utama,Cochrane,Bandar Utama,KG,KG,MRT Kajang,MRT Kajang,Same line,2953,12,13,2.953
2026-01,KG21: Cochrane,KG15: Muzium Negara,Cochrane,Muzium Negara,KG,KG,MRT Kajang,MRT Kajang,Same line,8307,12,11,8.307
2026-01,KG21: Cochrane,KG18: Bukit Bintang,Cochrane,Bukit Bintang,KG,KG,MRT Kajang,MRT Kajang,Same line,40583,12,1,40.583
2026-01,KG21: Cochrane,KG20: Tun Razak Exchange,Cochrane,Tun Razak Exchange,KG,KG,MRT Kajang,MRT Kajang,Same line,35466,12,4,35.466
2026-01,KG21: Cochrane,KG22: Maluri,Cochrane,Maluri,KG,KG,MRT Kajang,MRT Kajang,Same line,21096,12,5,21.096
2026-01,KG21: Cochrane,KJ03: Wangsa Maju,Cochrane,Wangsa Maju,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1724,12,14,1.724
2026-01,KG21: Cochrane,KJ09: Ampang Park,Cochrane,Ampang Park,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,88,12,7,0.088
2026-01,KG21: Cochrane,KJ10: KLCC,Cochrane,KLCC,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,2334,12,2,2.334
2026-01,KG21: Cochrane,KJ14: Pasar Seni,Cochrane,Pasar Seni,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,8516,12,8,8.516
2026-01,KG21: Cochrane,KJ15: KL Sentral,Cochrane,KL Sentral,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1376,12,3,1.376
2026-01,KG21: Cochrane,KJ16: Bank Rakyat Bangsar,Cochrane,Bank Rakyat Bangsar,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1441,12,15,1.441
2026-01,KG21: Cochrane,KJ17: Abdullah Hukum,Cochrane,Abdullah Hukum,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,2630,12,6,2.63
2026-01,KG21: Cochrane,MR06: Bukit Bintang,Cochrane,Bukit Bintang,KG,MR,MRT Kajang,Monorail,Inter-line,20,12,9,0.02
2026-01,KG22: Maluri,AG07: Masjid Jamek,Maluri,Masjid Jamek,KG,AG,MRT Kajang,Ampang,Inter-line,3105,5,10,3.105
2026-01,KG22: Maluri,KG09: Bandar Utama,Maluri,Bandar Utama,KG,KG,MRT Kajang,MRT Kajang,Same line,6857,5,13,6.857
2026-01,KG22: Maluri,KG15: Muzium Negara,Maluri,Muzium Negara,KG,KG,MRT Kajang,MRT Kajang,Same line,22353,5,11,22.353
