origin,destination,od_pair,fare_rm,time_min,route,transfer_count,transfer_group,fare_label,time_label
Masjid Jamek (KJL),Pasar Seni (KJL),Masjid Jamek (KJL) → Pasar Seni (KJL),1.1,1.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)],0,Direct journey,RM 1.10,1 min
Masjid Jamek (KJL),KL Sentral (KJL),Masjid Jamek (KJL) → KL Sentral (KJL),1.5,4.0,KJL[Masjid Jamek (KJL) > KL Sentral (KJL)],0,Direct journey,RM 1.50,4 min
Masjid Jamek (KJL),Bangsar,Masjid Jamek (KJL) → Bangsar,1.8,6.0,KJL[Masjid Jamek (KJL) > Bangsar],0,Direct journey,RM 1.80,6 min
Masjid Jamek (KJL),Abdullah Hukum,Masjid Jamek (KJL) → Abdullah Hukum,2.0,9.0,KJL[Masjid Jamek (KJL) > Abdullah Hukum],0,Direct journey,RM 2.00,9 min
Masjid Jamek (KJL),Kerinchi,Masjid Jamek (KJL) → Kerinchi,2.1,10.0,KJL[Masjid Jamek (KJL) > Kerinchi],0,Direct journey,RM 2.10,10 min
Masjid Jamek (KJL),Universiti,Masjid Jamek (KJL) → Universiti,2.3,12.0,KJL[Masjid Jamek (KJL) > Universiti],0,Direct journey,RM 2.30,12 min
Masjid Jamek (KJL),Taman Jaya,Masjid Jamek (KJL) → Taman Jaya,2.8,16.0,KJL[Masjid Jamek (KJL) > Taman Jaya],0,Direct journey,RM 2.80,16 min
Masjid Jamek (KJL),Asia Jaya,Masjid Jamek (KJL) → Asia Jaya,2.7,18.0,KJL[Masjid Jamek (KJL) > Asia Jaya],0,Direct journey,RM 2.70,18 min
Masjid Jamek (KJL),Taman Paramount,Masjid Jamek (KJL) → Taman Paramount,3.0,21.0,KJL[Masjid Jamek (KJL) > Taman Paramount],0,Direct journey,RM 3.00,21 min
Masjid Jamek (KJL),Taman Bahagia,Masjid Jamek (KJL) → Taman Bahagia,3.3,24.0,KJL[Masjid Jamek (KJL) > Taman Bahagia],0,Direct journey,RM 3.30,24 min
Masjid Jamek (KJL),Kelana Jaya,Masjid Jamek (KJL) → Kelana Jaya,3.4,26.0,KJL[Masjid Jamek (KJL) > Kelana Jaya],0,Direct journey,RM 3.40,26 min
Masjid Jamek (KJL),Lembah Subang,Masjid Jamek (KJL) → Lembah Subang,3.3,29.0,KJL[Masjid Jamek (KJL) > Lembah Subang],0,Direct journey,RM 3.30,29 min
Masjid Jamek (KJL),Ara Damansara,Masjid Jamek (KJL) → Ara Damansara,3.4,31.0,KJL[Masjid Jamek (KJL) > Ara Damansara],0,Direct journey,RM 3.40,31 min
Masjid Jamek (KJL),Glenmarie,Masjid Jamek (KJL) → Glenmarie,3.6,34.0,KJL[Masjid Jamek (KJL) > Glenmarie],0,Direct journey,RM 3.60,34 min
Masjid Jamek (KJL),Subang Jaya,Masjid Jamek (KJL) → Subang Jaya,3.3,35.0,KJL[Masjid Jamek (KJL) > Subang Jaya],0,Direct journey,RM 3.30,35 min
Masjid Jamek (KJL),SS 15,Masjid Jamek (KJL) → SS 15,3.4,39.0,KJL[Masjid Jamek (KJL) > SS 15],0,Direct journey,RM 3.40,39 min
Masjid Jamek (KJL),SS 18,Masjid Jamek (KJL) → SS 18,3.5,41.0,KJL[Masjid Jamek (KJL) > SS 18],0,Direct journey,RM 3.50,41 min
Masjid Jamek (KJL),USJ 7 (KJL),Masjid Jamek (KJL) → USJ 7 (KJL),3.8,44.0,KJL[Masjid Jamek (KJL) > USJ 7 (KJL)],0,Direct journey,RM 3.80,44 min
Masjid Jamek (KJL),Taipan,Masjid Jamek (KJL) → Taipan,3.2,45.0,KJL[Masjid Jamek (KJL) > Taipan],0,Direct journey,RM 3.20,45 min
Masjid Jamek (KJL),Wawasan,Masjid Jamek (KJL) → Wawasan,3.3,48.0,KJL[Masjid Jamek (KJL) > Wawasan],0,Direct journey,RM 3.30,48 min
Masjid Jamek (KJL),USJ 21,Masjid Jamek (KJL) → USJ 21,3.4,50.0,KJL[Masjid Jamek (KJL) > USJ 21],0,Direct journey,RM 3.40,50 min
Masjid Jamek (KJL),Alam Megah,Masjid Jamek (KJL) → Alam Megah,3.6,53.0,KJL[Masjid Jamek (KJL) > Alam Megah],0,Direct journey,RM 3.60,53 min
Masjid Jamek (KJL),Subang Alam,Masjid Jamek (KJL) → Subang Alam,3.7,56.0,KJL[Masjid Jamek (KJL) > Subang Alam],0,Direct journey,RM 3.70,56 min
Masjid Jamek (KJL),Putra Heights (KJL),Masjid Jamek (KJL) → Putra Heights (KJL),3.8,60.0,KJL[Masjid Jamek (KJL) > Putra Heights (KJL)],0,Direct journey,RM 3.80,60 min
Masjid Jamek (KJL),Sungai Buloh,Masjid Jamek (KJL) → Sungai Buloh,3.5,38.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sungai Buloh],1,1+ transfer,RM 3.50,38 min
Masjid Jamek (KJL),Kampung Selamat,Masjid Jamek (KJL) → Kampung Selamat,4.1,36.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kampung Selamat],1,1+ transfer,RM 4.10,36 min
Masjid Jamek (KJL),Kwasa Damansara,Masjid Jamek (KJL) → Kwasa Damansara,3.8,34.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kwasa Damansara],1,1+ transfer,RM 3.80,34 min
Masjid Jamek (KJL),Kwasa Sentral,Masjid Jamek (KJL) → Kwasa Sentral,3.6,31.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kwasa Sentral],1,1+ transfer,RM 3.60,31 min
Masjid Jamek (KJL),Kota Damansara,Masjid Jamek (KJL) → Kota Damansara,3.8,28.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kota Damansara],1,1+ transfer,RM 3.80,28 min
Masjid Jamek (KJL),Surian,Masjid Jamek (KJL) → Surian,3.6,25.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Surian],1,1+ transfer,RM 3.60,25 min
Masjid Jamek (KJL),Mutiara Damansara,Masjid Jamek (KJL) → Mutiara Damansara,3.7,22.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Mutiara Damansara],1,1+ transfer,RM 3.70,22 min
Masjid Jamek (KJL),Bandar Utama,Masjid Jamek (KJL) → Bandar Utama,3.4,20.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bandar Utama],1,1+ transfer,RM 3.40,20 min
Masjid Jamek (KJL),TTDI,Masjid Jamek (KJL) → TTDI,3.1,17.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > TTDI],1,1+ transfer,RM 3.10,17 min
Masjid Jamek (KJL),Phileo Damansara,Masjid Jamek (KJL) → Phileo Damansara,3.1,14.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Phileo Damansara],1,1+ transfer,RM 3.10,14 min
Masjid Jamek (KJL),Pusat Bandar Damansara,Masjid Jamek (KJL) → Pusat Bandar Damansara,2.1,10.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Pusat Bandar Damansara],1,1+ transfer,RM 2.10,10 min
Masjid Jamek (KJL),Semantan,Masjid Jamek (KJL) → Semantan,2.1,8.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Semantan],1,1+ transfer,RM 2.10,8 min
Masjid Jamek (KJL),Muzium Negara,Masjid Jamek (KJL) → Muzium Negara,1.4,4.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Muzium Negara],1,1+ transfer,RM 1.40,4 min
Masjid Jamek (KJL),Pasar Seni (SBK),Masjid Jamek (KJL) → Pasar Seni (SBK),1.1,2.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Pasar Seni (SBK)],1,1+ transfer,RM 1.10,2 min
Masjid Jamek (KJL),Merdeka,Masjid Jamek (KJL) → Merdeka,1.1,3.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Merdeka],1,1+ transfer,RM 1.10,3 min
